name,stars,num_reviews,price,cuisine
Artichoke Basille's Pizza,4.5 of 5 bubbles,336 reviews,$$ - $$$,Italian
Murray Hill Diner,4.5 of 5 bubbles,438 reviews,$,American
Bistro Milano,4 of 5 bubbles,544 reviews,$$ - $$$,Italian
Azalea,4.5 of 5 bubbles,660 reviews,$$ - $$$,Italian
Totto Ramen,4 of 5 bubbles,642 reviews,$,Japanese
Rosa Mexicano - Lincoln Center,4 of 5 bubbles,"1,062 reviews",$$ - $$$,Mexican
DB Bistro Moderne,4 of 5 bubbles,"1,157 reviews",$$$$,French
Tao,4 of 5 bubbles,"3,003 reviews",$$$$,Japanese
Nizza,4 of 5 bubbles,789 reviews,$$ - $$$,Italian
Ellen's Stardust Diner,4 of 5 bubbles,"14,865 reviews",$$ - $$$,American
Marseille,4 of 5 bubbles,880 reviews,$$ - $$$,French
Bocca di Bacco,4 of 5 bubbles,442 reviews,$$ - $$$,Italian
Connolly's Pub & Restaurant,4 of 5 bubbles,"1,130 reviews",$$ - $$$,American
Le Pain Quotidien - Bryant Park,4 of 5 bubbles,842 reviews,$$ - $$$,French
"Chocolate by the Bald Man, Max Brenner",4.5 of 5 bubbles,"1,680 reviews",$$ - $$$,American
Felidia,4.5 of 5 bubbles,639 reviews,$$$$,Italian
Brooklyn Diner,4 of 5 bubbles,"2,154 reviews",$$ - $$$,American
Barbuto,4.5 of 5 bubbles,480 reviews,$$ - $$$,Italian
Momofuku Ko,4.5 of 5 bubbles,329 reviews,$$$$,Asian
Remi,4 of 5 bubbles,479 reviews,$$$$,Italian
Blossom Vegan Restaurant,4.5 of 5 bubbles,516 reviews,$$ - $$$,American
The Palm West Side,4.5 of 5 bubbles,457 reviews,$$$$,American
Etcetera Etcetera Restaurant,4.5 of 5 bubbles,409 reviews,$$ - $$$,Mediterranean
burger joint at Le Parker Meridien Hotel,4 of 5 bubbles,"4,150 reviews",$,American
Trinity Place,4.5 of 5 bubbles,210 reviews,$$ - $$$,American
Il Cortile,4 of 5 bubbles,620 reviews,$$ - $$$,Italian
Bubba Gump Shrimp Co.,4 of 5 bubbles,"10,103 reviews",$$ - $$$,American
The Red Flame Diner,4 of 5 bubbles,"1,902 reviews",$,American
Faicco's Pork Store,4.5 of 5 bubbles,269 reviews,$,Italian
Whole Foods Market,4.5 of 5 bubbles,354 reviews,$,American
Hill Country Barbecue Market,4 of 5 bubbles,840 reviews,$$ - $$$,American
Jackson Hole,4.5 of 5 bubbles,476 reviews,$$ - $$$,American
Jimmy's Corner,4.5 of 5 bubbles,344 reviews,$,
Thalia,4 of 5 bubbles,870 reviews,$$ - $$$,American
Pongsri Thai Restaurant,4 of 5 bubbles,590 reviews,$$ - $$$,Asian
Virgil's Real BBQ -Time Square,4 of 5 bubbles,"3,330 reviews",$$ - $$$,American
44 & X,4.5 of 5 bubbles,546 reviews,$$ - $$$,American
Cafe Fiorello,4 of 5 bubbles,"1,000 reviews",$$ - $$$,Italian
Ted's Montana Grill,4 of 5 bubbles,555 reviews,$$ - $$$,American
Fiat Cafe,4.5 of 5 bubbles,254 reviews,$$ - $$$,Italian
